filename;alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
1736640671_baseline,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;brm;674143,9979442774;683392,5048736925;684511,8967674025;690653,0403622071;5178,388437380907
1736640671_baseline,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;674143,9979442774;683392,5048736925;684511,8967674025;690653,0403622071;5178,388437380907
1736640671_baseline,txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;brm;547266,6373321681;557940,5042585363;556135,3603412209;568673,9343224806;5930,293721757306
1736640671_baseline,txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;547266,6373321681;557940,5042585363;556135,3603412209;568673,9343224806;5930,293721757306
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;676982,1895066015;684772,304851209;685474,5196453321;691579,2281133204;3633,388032128478
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;670358,7736001759;683322,7167781544;681960,4346198731;693305,0639152345;5630,255272564747
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;687385,0613266602;700436,9067138761;701462,2524605567;711340,7820758008;6639,436957167301
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;689439,3428404299;703674,7399753595;705219,8347357328;713930,1229161719;6842,173675890217
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;677385,4740396289;690859,685447538;692968,8489198631;703182,1533049218;5973,961440306568
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;674022,9885245899;688156,9995043798;687559,6526315527;705515,7626049414;5942,93318593774
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;665255,25247418;672653,7839958281;672409,3077236526;685667,3113792189;4302,143920075563
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;654163,6623256835;667720,3682639153;668053,6313933008;678887,5374741408;6180,346167532059
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;675744,6426111135;685927,4881165763;686998,6558277443;695103,6905160939;5294,723120735756
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;670648,2875634962;682993,6294808575;684203,7503066798;688621,561046797;4703,880650768059
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;682466,9216991407;699744,8821308624;699917,2154430568;707815,5919379883;6717,062834475121
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;691970,7769974414;701952,1997389309;701804,6513220314;710904,6613282033;5876,445847643693
